movie,review
into_the_abyss_2011,"  ""Got redundant about halfway through."
the_girl_with_the_dragon_tattoo,"  ""I""m biased because I love all Fincher films. Or maybe all of his films are simply amazing.  ""Excellent thriller.  Just watch it."
rango,"  ""A suprisingly beautiful western tale about a chameleon finding out who he really is.  ""This movie will be talked about decades later as greatness.  ""Quite an odd movie, laugh out loud funny in parts, full of quips."
king_of_devils_island_2011,"  ""Cool Hand Luke, Norwegian-style :-)  ""Bleak, and ultimately unsatisfying."
winnie_the_pooh_2011," One of the most innocent and charming movies I""ve ever seen.   ""A Pure Amazing film from start to finish  ""Always adorable, always worth watching."
the_four_times,"  ""Brilliant ~ Beautiful ~  ""90-minute ambient Rube Goldberg machine.  ""fortemente recomendado para @efrain almeida"
city_of_life_and_death," Best movie I""ve ever watch. Historically accurate, as well as unbiased.  ""An utterly beautiful and devastating film about the Rape of Nanking.  I have seen it compared to ""Schindler\""s List  and there simply is no comparison.  This is an immeasurably better film.  In fact, it\""s probably the best film I never want to see again.  ""A testament to the depths of depravity humans can devolve into and to the heights of nobility others can attain. A powerful movie. Visually stunning."
contagion_2011,"  ""ESSE FILME SE DEFINE POR SI SÓ , DISPENSA COMENTÁRIOS!  ""One of the best, if not the best, pandemic movies ever made. I""ve watched it 4 times and it""s still good. Highly recommend!"
knuckle_2011, What a weird culture.
the_tree_of_life_2011,"  ""This so called ""movie"" is the single hottest piece of garbage I\""ve ever had the misfortune of experiencing.  ""I just want to review because the score is so low and this is one of the greater movie experiences you can have.  ""That hour of National Geographic in the middle was really something hey  ""Ooh, the question marks that battered my Brain. \n                                    Beautiful looking nonsense."
the_black_power_mix_tape_1967_1975," Fantastic time capsule. Must see!  ""This documentary has so much passion in it. I loved it!  ""An amazing documentary.  ""A lot of amazing footage in this."
certified_copy,"  ""This film was amazing!  ""Certified Copy is a film all about perception and reality, threatening to undo itself with its slow pace and stubborn ambiguity but masterfully elevated by Binoche and Kiarostami"
point_blank,"  ""Solid cast, solid story, solid cinematography= solid film  ""Very great action and suspense.  ""Fairly silly, but entertaining enough."
cormans_world_exploits_of_a_hollywood_rebel,"  ""Joyful and moving portrait of the man who is far wiser than his image as a joke name in filmmaking would have it.  ""A love letter to the B-Movie Guru."
buck,"  ""2016-06-12 good docu-bio. Hubs lost interest halfway through though.  ""Pretty interesting movie.  ""You learn things that don""t just apply to horse training."
submarine-2010,"  ""Strangely fun. The calm soundtrack and the funny acting make Ayoade""s work fun and melancholy.  ""Brilliant, funny, peculiar.... I love it."
margin_call,"  ""Pretty good, but not nearly enough emphasis on the purposefuless.  Hints aren""t enough.  And even smack of whitewash, in the face of all the overwhelming corresponding evidence.  ""nice pacing. Great cast. Doesn""t go too in depth on cause of all the hullabaloo, doesn""t need to anyway. Results are still good.  ""Kinda like titanic, you know they are heading to be a disaster but you want to see how they got there.  ""A brilliant portrayal of the world of finance at the time leading up to the 2008 financial crisis."
the_trip_2011," So entertaining! I want more. Love the chats over meals  ""Boring artsy movie that has Steve coogan.  ""Has interesting and entertaining moments but mostly slow and dull.  ""Wanted to like it more than I did.  Sometimes funny, sometimes self-indulgent."
elite_squad_the_enemy_within,"  ""The best brasilian movie!  ""Special Effects: 1,0/Sound Effects: 1,0/Acting: 1,0/Story: 2,0"
uncle_boonmee,"  ""Maybe someday it will recall my memory.  ""3.7/5\n\nTheres clearly something fascinating about the culturally rich portrayal of spirits within this fantastic and imaginative tale."
