movie_name,positive,negative,neutral
dear_frankie,0.2012,0.04245,0.75635
dear_white_people,0.1973,0.06425,0.7383
deceptive_practice_the_mysteries_and_mentors_of_ricky_jay,0.1187,0.0187,0.8626
declaration_of_war,0.10565,0.18045,0.71395
deep_end,0.11935,0.0786,0.80205
deliver_us_from_evil,0.1601,0.1836,0.6562
demon_2016,0.17095,0.12875,0.70045
departed,0.2072,0.0795,0.71325
descent,0.10655,0.13355,0.76
detroit_2017,0.1004,0.15425,0.74535
detropia_2012,0.12005,0.0835,0.79645
devil_came_on_horseback,0.0622,0.18705,0.7509
devils_backbone,0.20565,0.13165,0.66275
diamond_men,0.2063,0.0298,0.7639
diana_vreeland_the_eye_has_to_travel_2012,0.1681,0.03025,0.8017
dick_johnson_is_dead,0.18965,0.1195,0.6909
dig,0.16595,0.0975,0.73655
dina_2017,0.19,0.02445,0.7856
dinner_rush,0.191176471,0.044411765,0.764470588
diplomatie,0.1354,0.0308,0.8337
dirty_god,0.153,0.1285,0.7185
dirty_pretty_things,0.2518,0.06675,0.68135
disappearance_of_alice_creed,0.12215,0.1132,0.76475
disclosure_2020_2,0.1329375,0.031125,0.8358125
